ETF이름,링크,ETF코드,운용사,수수료,시가총액(억 원),수익률,,,,구성종목 TOP 10,,,,,,,,,,,,,,,,,,,
KOSEF 인도Nifty50(합성),https://finance.naver.com/item/coinfo.nhn?code=200250,200250,키움투자자산운용,0.490,268,3.38,15.53,20.30,10.60, ISHARES MSCI INDIA INDEX ETF ,, SGX NIFTY50 F2103 ,, 스왑(KB증권) ,, 설정현금액 ,, 원화현금 ,
KOSEF 블루칩,https://finance.naver.com/item/coinfo.nhn?code=104520,104520,키움투자자산운용,0.400,120,-4.53,13.62,22.60,39.90, LG전자 ,3.31, SK이노베이션 ,3.18, LG디스플레이 ,3.02, 한국항공우주 ,3.02, NAVER ,2.81, 카카오 ,2.78, 현대차 ,2.72, 현대모비스 ,2.70, LG ,2.68, SK하이닉스 ,2.64
KOSEF 배당바이백Plus,https://finance.naver.com/item/coinfo.nhn?code=260200,260200,키움투자자산운용,0.400,56,-1.72,16.14,26.14,34.07, 포스코인터내셔널 ,4.70, 락앤락 ,4.46, 세방전지 ,4.09, LIG넥스원 ,3.76, LG디스플레이 ,3.72, 현대모비스 ,3.67, 삼양홀딩스 ,3.52, 보령제약 ,3.44, LG상사 ,3.42, KT ,3.29
KOSEF 미국방어배당성장나스닥,https://finance.naver.com/item/coinfo.nhn?code=373790,373790,키움투자자산운용,0.400,70,-1.48,,,, AT&T INC ,, KROGER CO ,, ROLLINS ,, HORMEL FOODS CORP ,, VERIZON COMMUNICATIONS INC ,, COCA-COLA CO/THE ,, WALGREENS BOOTS ALLIANCE INC ,, BRISTOL-MYERS SQUIBB CO ,, COMCAST CORP ,, ARCHER-DANIELS-MIDLAND CO ,
KOSEF 미국달러선물인버스2X,https://finance.naver.com/item/coinfo.nhn?code=230480,230480,키움투자자산운용,0.640,184,-3.49,-4.18,10.17,11.79, KOSEF 미국달러선물인버스 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KOSEF 미국달러선물인버스,https://finance.naver.com/item/coinfo.nhn?code=139660,139660,키움투자자산운용,0.490,111,-1.66,-1.93,5.08,6.55, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KOSEF 미국달러선물레버리지,https://finance.naver.com/item/coinfo.nhn?code=225800,225800,키움투자자산운용,0.640,201,3.02,3.14,-10.80,-15.52, KOSEF 미국달러선물 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KOSEF 미국달러선물,https://finance.naver.com/item/coinfo.nhn?code=138230,138230,키움투자자산운용,0.370,285,1.59,1.81,-5.36,-7.33, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KOSEF 단기자금,https://finance.naver.com/item/coinfo.nhn?code=130730,130730,키움투자자산운용,0.150,486,0.08,0.19,0.30,0.90, 산업금융채권20신할0100-0521-1 ,, 산업금융채권20신할0100-1015-1 ,, 수산금융채권(은행)20-6할11-25 ,, 신한은행24-07-할-1-A ,, 우리은행24-09-할인9M-갑-29 ,, 우리은행24-10-할인11M-갑-12 ,, 중소기업은행(단)2009할334A-21 ,, 통화안정증권00700-2109-01 ,, 통화안정증권01180-2108-02 ,, 통화안정증권01315-2110-02 ,
KOSEF 국고채3년,https://finance.naver.com/item/coinfo.nhn?code=114470,114470,키움투자자산운용,0.150,338,0.01,0.08,-0.10,1.12, 국고채권01000-2306(20-3) ,, 국고채권01125-2509(20-6) ,, 국고채권01250-2212(19-7) ,, 원화현금 ,
KOSEF 국고채10년레버리지,https://finance.naver.com/item/coinfo.nhn?code=167860,167860,키움투자자산운용,0.300,117,-2.77,-4.30,-7.81,-7.27, 10년국채   F 202103 ,, 국고채권01375-2912(19-8) ,, 국고채권01375-3006(20-4) ,, 국고채권01875-2906(19-4) ,, 설정현금액 ,, 원화현금 ,
KOSEF 국고채10년,https://finance.naver.com/item/coinfo.nhn?code=148070,148070,키움투자자산운용,0.150,1967,-1.41,-1.91,-3.54,-2.66, 국고채권01375-2912(19-8) ,, 국고채권01375-3006(20-4) ,, 국고채권01875-2906(19-4) ,, 설정현금액 ,, 원화현금 ,
KOSEF 고배당,https://finance.naver.com/item/coinfo.nhn?code=104530,104530,키움투자자산운용,0.400,69,0.86,2.68,21.22,11.22, 대신증권 ,6.44, 쌍용양회 ,6.24, 우리금융지주 ,6.12, 하나금융지주 ,5.69, 코리안리 ,5.64, 효성 ,5.57, BNK금융지주 ,5.38, 메리츠화재 ,5.29, 코엔텍 ,5.28, 한전KPS ,5.20
KOSEF 200TR,https://finance.naver.com/item/coinfo.nhn?code=294400,294400,키움투자자산운용,0.012,4730,-3.12,18.94,33.48,50.24, 삼성전자 ,31.95, SK하이닉스 ,6.52, NAVER ,3.89, LG화학 ,3.14, 삼성SDI ,2.85, 현대차 ,2.74, 셀트리온 ,2.59, 카카오 ,2.52, 기아차 ,1.64, 현대모비스 ,1.60
KOSEF 200선물인버스2X,https://finance.naver.com/item/coinfo.nhn?code=253230,253230,키움투자자산운용,0.460,89,5.62,-32.39,-47.83,-67.52, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
KOSEF 200선물인버스,https://finance.naver.com/item/coinfo.nhn?code=253240,253240,키움투자자산운용,0.460,42,2.99,-16.68,-26.56,-39.53, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
KOSEF 200선물레버리지,https://finance.naver.com/item/coinfo.nhn?code=253250,253250,키움투자자산운용,0.460,254,-7.62,36.76,70.77,97.31, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
KOSEF 200 선물,https://finance.naver.com/item/coinfo.nhn?code=152280,152280,키움투자자산운용,0.230,88,-3.48,18.08,32.45,49.06, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,100.00
KOSEF 200,https://finance.naver.com/item/coinfo.nhn?code=069660,069660,키움투자자산운용,0.130,6107,-3.13,18.90,33.45,49.96, 삼성전자 ,31.95, SK하이닉스 ,6.51, NAVER ,3.89, LG화학 ,3.14, 삼성SDI ,2.87, 현대차 ,2.74, 셀트리온 ,2.63, 카카오 ,2.52, 기아차 ,1.64, POSCO ,1.62
KODEX WTI원유선물인버스(H),https://finance.naver.com/item/coinfo.nhn?code=271050,271050,삼성자산운용,0.350,46,-16.32,-26.72,-32.76,-29.22, PROSHRE U/S DJ-UBS CRUDE OIL ,, 미국달러 F 202103 ,, WTI Crude F2104 ,, 설정현금액 ,, 원화현금 ,
KODEX WTI원유선물(H),https://finance.naver.com/item/coinfo.nhn?code=261220,261220,삼성자산운용,0.350,3739,19.97,35.29,39.39,-45.21, United States OIL ETF ,, WTI Crude F2104 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX TSE일본리츠(H),https://finance.naver.com/item/coinfo.nhn?code=352540,352540,삼성자산운용,0.300,96,8.08,15.21,12.76,, INVESCO OFFICE J-REIT INC ,, INVINCIBLE INVESTMENT CORP ,, JAPAN HOTEL REIT INVESTMENT ,, NOMURA REAL ESTATE MASTER FU ,, SEKISUI HOUSE REIT INC ,, GLP J-REIT ,, UNITED URBAN INVESTMENT CORP ,, ORIX JREIT INC ,, JAPAN RETAIL FUND INVESTMENT ,, DAIWA HOUSE REIT ,
KODEX TRF7030,https://finance.naver.com/item/coinfo.nhn?code=329670,329670,삼성자산운용,0.100,119,2.27,5.53,6.61,10.21, KODEX 선진국MSCI World ,, Xtrackers MSCI World UCITS ETF ,, ISHARES CORE MSCI WORLD UCIT ,, ISHARES MSCI WORLD ETF ,, 10년국채   F 202103 ,, 국고채권01375-2409(19-5) ,, 국고채권01375-2912(19-8) ,, 국고채권01500-3012(20-9) ,, 국고채권01875-2906(19-4) ,, 국고채권02000-2209(17-4) ,
KODEX TRF5050,https://finance.naver.com/item/coinfo.nhn?code=329660,329660,삼성자산운용,0.170,114,0.93,3.67,4.10,7.47, KODEX 선진국MSCI World ,, ISHARES MSCI WORLD ETF ,, ISHARES CORE MSCI WORLD UCIT ,, Xtrackers MSCI World UCITS ETF ,, 10년국채   F 202103 ,, 국고채권01375-2409(19-5) ,, 국고채권01375-2912(19-8) ,, 국고채권01500-3012(20-9) ,, 국고채권01875-2906(19-4) ,, 국고채권02000-2209(17-4) ,
KODEX TRF3070,https://finance.naver.com/item/coinfo.nhn?code=329650,329650,삼성자산운용,0.240,240,0.28,2.06,1.96,4.75, KODEX 선진국MSCI World ,, ISHARES MSCI WORLD ETF ,, 국고채권01375-2409(19-5) ,, 국고채권01375-2912(19-8) ,, 국고채권01500-3012(20-9) ,, 국고채권01875-2906(19-4) ,, 국고채권02000-2209(17-4) ,, 국고채권02000-4903(19-2) ,, 국고채권02375-3809(18-7) ,, 중소기업은행(신)2004할1A-13 ,
KODEX Top5PlusTR,https://finance.naver.com/item/coinfo.nhn?code=315930,315930,삼성자산운용,0.150,4038,1.19,25.32,42.39,44.92, 삼성전자 ,25.22, SK하이닉스 ,22.79, NAVER ,14.35, 현대차 ,9.99, 현대모비스 ,5.77, POSCO ,5.06, KB금융 ,4.19, 신한지주 ,3.90, 삼성전자우 ,3.05, 하나금융지주 ,2.96
KODEX S&P글로벌인프라(합성),https://finance.naver.com/item/coinfo.nhn?code=269420,269420,삼성자산운용,0.260,117,2.68,2.82,5.91,-12.31, 스왑(미래에셋대우) ,, 스왑(신한금융투자) ,, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
KODEX MSCI퀄리티,https://finance.naver.com/item/coinfo.nhn?code=275300,275300,삼성자산운용,0.300,64,-6.50,1.48,0.33,6.13, 셀트리온 ,20.89, 엔씨소프트 ,12.66, LG생활건강 ,11.71, KT&G ,6.99, 삼성에스디에스 ,4.84, 고려아연 ,2.48, 오리온 ,2.42, 코웨이 ,2.35, 씨젠 ,1.88, 한솔케미칼 ,1.71
KODEX MSCI밸류,https://finance.naver.com/item/coinfo.nhn?code=275290,275290,삼성자산운용,0.300,175,-4.30,18.83,33.53,45.57, 삼성전자 ,20.20, SK하이닉스 ,9.25, 현대제철 ,7.18, SK텔레콤 ,6.41, 현대차2우B ,4.70, 삼성전자우 ,3.71, 현대차우 ,3.17, BNK금융지주 ,2.72, 한화 ,2.18, DL이앤씨 ,2.09
KODEX MSCI모멘텀,https://finance.naver.com/item/coinfo.nhn?code=275280,275280,삼성자산운용,0.300,81,-6.56,15.19,22.26,54.99, 삼성전자 ,20.58, NAVER ,7.88, LG화학 ,6.19, 카카오 ,5.84, 삼성SDI ,5.61, 현대차 ,5.17, SK하이닉스 ,4.66, 삼성전자우 ,3.61, 기아차 ,2.97, 셀트리온 ,2.28
KODEX MSCI Korea TR,https://finance.naver.com/item/coinfo.nhn?code=278540,278540,삼성자산운용,0.150,17005,-4.32,18.55,34.44,48.61, 삼성전자 ,32.71, SK하이닉스 ,6.42, 삼성전자우 ,4.97, NAVER ,3.84, LG화학 ,3.17, 삼성SDI ,3.07, 현대차 ,2.94, 셀트리온 ,2.38, 카카오 ,2.33, 기아차 ,1.74
KODEX MSCI KOREA ESG유니버설,https://finance.naver.com/item/coinfo.nhn?code=289040,289040,삼성자산운용,0.300,362,-3.89,18.34,33.17,48.61, 삼성전자 ,22.43, SK하이닉스 ,9.81, NAVER ,4.69, 삼성SDI ,3.73, 카카오 ,3.56, 삼성전자우 ,3.41, LG전자 ,3.16, 신한지주 ,2.93, LG화학 ,2.93, POSCO ,2.12
KODEX MSCI Korea,https://finance.naver.com/item/coinfo.nhn?code=156080,156080,삼성자산운용,0.150,989,-4.86,17.91,32.93,47.22, 삼성전자 ,32.10, SK하이닉스 ,6.30, 삼성전자우 ,4.88, NAVER ,3.77, LG화학 ,3.09, 삼성SDI ,3.02, 현대차 ,2.88, 셀트리온 ,2.33, 카카오 ,2.28, 기아차 ,1.70
KODEX MSCI EM선물(H),https://finance.naver.com/item/coinfo.nhn?code=291890,291890,삼성자산운용,0.450,59,-3.21,9.11,19.12,27.26, iShares MSCI Emerging MKT ,, mini MSCI EM F2103 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,, USD 예금 ,
KODEX KTOP30,https://finance.naver.com/item/coinfo.nhn?code=229720,229720,삼성자산운용,0.250,136,-4.64,17.53,29.93,62.68, 삼성전자 ,22.00, NAVER ,10.00, LG화학 ,8.85, 삼성SDI ,7.18, 카카오 ,5.20, 유한양행 ,3.47, 롯데케미칼 ,3.39, 셀트리온 ,3.23, 현대모비스 ,3.23, POSCO ,3.00
KODEX KRX300레버리지,https://finance.naver.com/item/coinfo.nhn?code=306950,306950,삼성자산운용,0.640,200,-9.24,33.91,64.61,99.90, KODEX KRX300 ,, 삼성전자 ,, SK하이닉스 ,, 우리금융지주 ,, 삼성중공업 ,, 신한지주 ,, KB금융 ,, 미래에셋대우 ,, 한화생명 ,, 한국전력 ,
KODEX KRX300,https://finance.naver.com/item/coinfo.nhn?code=292190,292190,삼성자산운용,0.050,725,-4.27,17.09,30.11,48.68, 삼성전자 ,29.46, SK하이닉스 ,6.04, NAVER ,3.60, LG화학 ,2.82, 삼성SDI ,2.64, 현대차 ,2.54, 셀트리온 ,2.39, 카카오 ,2.32, 기아차 ,1.52, 현대모비스 ,1.49
KODEX K-이노베이션액티브,https://finance.naver.com/item/coinfo.nhn?code=373490,373490,삼성자산운용,0.500,126,-5.24,,,, 삼성전자 ,23.16, SK하이닉스 ,9.60, NAVER ,8.50, LG화학 ,5.80, 현대차 ,5.33, 삼성SDI ,5.29, 카카오 ,4.85, 현대모비스 ,3.96, 셀트리온 ,3.37, 기아차 ,3.34
KODEX IT,https://finance.naver.com/item/coinfo.nhn?code=266370,266370,삼성자산운용,0.450,580,-5.73,25.50,44.06,52.69, SK하이닉스 ,22.76, 삼성SDI ,21.75, 삼성전자 ,20.10, 삼성전기 ,6.56, 삼성에스디에스 ,4.05, LG디스플레이 ,3.19, LG이노텍 ,1.77, 더존비즈온 ,1.29, DB하이텍 ,1.24, 원익IPS ,1.02
KODEX FnKorea50,https://finance.naver.com/item/coinfo.nhn?code=296710,296710,삼성자산운용,0.450,63,-6.08,11.04,18.02,35.95, LG전자 ,2.83, 한국항공우주 ,2.53, SK이노베이션 ,2.51, LG디스플레이 ,2.49, NAVER ,2.41, 카카오 ,2.40, 기아차 ,2.28, LG ,2.27, 현대차 ,2.26, SK하이닉스 ,2.23
KODEX Fn성장,https://finance.naver.com/item/coinfo.nhn?code=325010,325010,삼성자산운용,0.300,1210,-3.93,16.82,27.41,58.09, 삼성전자 ,19.20, SK하이닉스 ,11.66, NAVER ,7.35, LG화학 ,5.76, 삼성SDI ,5.23, 셀트리온 ,4.78, 카카오 ,4.10, 엔씨소프트 ,2.61, LG생활건강 ,2.15, 삼성바이오로직스 ,1.88
KODEX Fn멀티팩터,https://finance.naver.com/item/coinfo.nhn?code=337120,337120,삼성자산운용,0.300,173,-3.94,17.13,30.21,47.37, 삼성전자 ,29.00, SK하이닉스 ,4.96, LG화학 ,2.83, 현대차 ,2.72, 셀트리온 ,2.19, NAVER ,1.98, 삼성SDI ,1.97, 기아차 ,1.89, 삼성바이오로직스 ,1.83, LG전자 ,1.54
KODEX Fn K-뉴딜디지털플러스,https://finance.naver.com/item/coinfo.nhn?code=368680,368680,삼성자산운용,0.090,264,-6.05,13.69,,, 카카오 ,12.41, NAVER ,12.34, 삼성SDI ,11.30, 엔씨소프트 ,10.04, LG화학 ,9.58, SK이노베이션 ,8.26, 셀트리온 ,7.95, 삼성바이오로직스 ,7.57, 셀트리온헬스케어 ,7.27, 포스코케미칼 ,2.62
KODEX China H선물인버스(H),https://finance.naver.com/item/coinfo.nhn?code=291660,291660,삼성자산운용,0.640,47,2.53,-7.22,-11.80,-15.56, CSOP Hang Seng China Enterpris ,, H-SHARES F2103 ,, 설정현금액 ,, 원화현금 ,
KODEX China H 레버리지(H),https://finance.naver.com/item/coinfo.nhn?code=204450,204450,삼성자산운용,0.640,296,-6.87,11.59,18.72,9.78, CCB(CHINA CONSTRUCTION BANK) ,, CSOP HSCEI2X LP ,, BANK OF CHINA ,, ICBC(INDUST&COMM BANK OF CHINA) ,, CHINA TOWER ,, AGRICULTURAL BANK OF CHINA ,, SINOPEC(CHINA PET&CHEM) ,, PETROCHINA ,, CNOOC ,, XIAOMI CORP-CLASS B ,
KODEX China H,https://finance.naver.com/item/coinfo.nhn?code=099140,099140,삼성자산운용,0.370,340,-1.95,7.64,4.69,3.00, CCB(CHINA CONSTRUCTION BANK) ,, BANK OF CHINA ,, ICBC(INDUST&COMM BANK OF CHINA) ,, CHINA TOWER ,, AGRICULTURAL BANK OF CHINA ,, SINOPEC(CHINA PET&CHEM) ,, PETROCHINA ,, CNOOC ,, XIAOMI CORP-CLASS B ,, SINO BIOPHARMACEUTICAL ,
KODEX 혁신기술테마액티브,https://finance.naver.com/item/coinfo.nhn?code=364690,364690,삼성자산운용,0.300,132,-4.13,18.66,,, 삼성전자 ,24.27, SK하이닉스 ,5.09, NAVER ,3.49, 현대차 ,2.94, 카카오 ,2.66, LG전자 ,2.44, 기아차 ,2.26, LG화학 ,2.07, 현대모비스 ,1.93, POSCO ,1.81
KODEX 헬스케어,https://finance.naver.com/item/coinfo.nhn?code=266420,266420,삼성자산운용,0.450,193,-12.44,-7.18,-8.39,59.80, 셀트리온 ,18.56, 셀트리온헬스케어 ,11.63, 삼성바이오로직스 ,10.54, 유한양행 ,3.15, 신풍제약 ,2.78, 알테오젠 ,2.50, 셀트리온제약 ,2.44, 한미약품 ,2.37, 씨젠 ,2.11, 녹십자 ,1.97
KODEX 한국대만IT프리미어,https://finance.naver.com/item/coinfo.nhn?code=298770,298770,삼성자산운용,0.550,980,0.73,28.26,38.57,64.43, HON HAI PRECISION INDUSTRY ,, UNITED MICROELECTRONICS ,, INNOLUX CO ,, AU OPTRINICS ,, TAIWAN SEMICONDUCTOR MANUFAC ,, COMPAL ELECTRONICS ,, CHUNGHWA TELECOM CO LTD ,, ASE INDUSTRIAL HOLDINGS ,, Wistron Corp ,, QUANTA COMPUTER ,
KODEX 필수소비재,https://finance.naver.com/item/coinfo.nhn?code=266410,266410,삼성자산운용,0.450,236,-1.40,10.38,9.45,23.40, LG생활건강 ,19.39, KT&G ,15.15, 아모레퍼시픽 ,13.47, 이마트 ,6.29, CJ제일제당 ,5.91, 오리온 ,5.18, 현대바이오 ,3.32, 아모레G ,3.16, 동서 ,2.31, BGF리테일 ,2.30
KODEX 탄소효율그린뉴딜,https://finance.naver.com/item/coinfo.nhn?code=375770,375770,삼성자산운용,0.090,490,,,,, 삼성전자 ,30.54, SK하이닉스 ,5.17, NAVER ,3.75, 현대차 ,2.92, LG화학 ,2.88, 삼성SDI ,2.20, 기아차 ,2.07, 셀트리온 ,1.94, 현대모비스 ,1.79, 카카오 ,1.64
KODEX 퀄리티Plus,https://finance.naver.com/item/coinfo.nhn?code=244660,244660,삼성자산운용,0.300,63,-5.41,9.81,14.76,29.79, 매일유업 ,4.32, 농심 ,3.62, 한섬 ,3.45, GS홈쇼핑 ,3.20, 대상 ,3.17, LG유플러스 ,3.10, 메가스터디교육 ,3.05, 골프존 ,2.92, 아모레G ,2.85, 쿠쿠홈시스 ,2.79
KODEX 콩선물(H),https://finance.naver.com/item/coinfo.nhn?code=138920,138920,삼성자산운용,0.680,104,4.06,17.58,48.84,49.61, ETFs SOYBEANS ,, SOYBEAN F2105 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,, USD 예금 ,
KODEX 코스피TR,https://finance.naver.com/item/coinfo.nhn?code=359210,359210,삼성자산운용,0.070,415,-4.52,15.91,29.57,, 삼성전자 ,24.55, SK하이닉스 ,5.15, NAVER ,3.08, LG화학 ,2.92, 현대차 ,2.52, 삼성바이오로직스 ,2.47, 삼성SDI ,2.32, 카카오 ,2.15, 셀트리온 ,2.04, 기아차 ,1.60
KODEX 코스피대형주,https://finance.naver.com/item/coinfo.nhn?code=337140,337140,삼성자산운용,0.150,526,-4.10,17.94,31.17,48.42, 삼성전자 ,29.09, SK하이닉스 ,6.08, NAVER ,3.66, LG화학 ,3.46, 현대차 ,2.99, 삼성바이오로직스 ,2.92, 삼성SDI ,2.76, 카카오 ,2.53, 셀트리온 ,2.41, 기아차 ,1.90
KODEX 코스피100,https://finance.naver.com/item/coinfo.nhn?code=237350,237350,삼성자산운용,0.150,146,-3.69,18.08,32.20,48.18, 삼성전자 ,31.36, SK하이닉스 ,7.18, NAVER ,4.29, LG화학 ,3.44, 삼성SDI ,3.13, 현대차 ,3.02, 셀트리온 ,2.85, 카카오 ,2.78, 기아차 ,1.81, 현대모비스 ,1.78
KODEX 코스피,https://finance.naver.com/item/coinfo.nhn?code=226490,226490,삼성자산운용,0.150,3658,-3.59,16.97,30.03,47.64, 삼성전자 ,24.21, SK하이닉스 ,5.08, NAVER ,3.04, LG화학 ,2.89, 현대차 ,2.50, 삼성바이오로직스 ,2.44, 삼성SDI ,2.28, 카카오 ,2.13, 셀트리온 ,2.01, 기아차 ,1.59
KODEX 코스닥150선물인버스,https://finance.naver.com/item/coinfo.nhn?code=251340,251340,삼성자산운용,0.640,4407,11.43,-4.41,-7.32,-38.17, 코스닥150 F 202103 ,, 설정현금액 ,, 원화현금 ,
KODEX 코스닥150롱코스피200숏선물,https://finance.naver.com/item/coinfo.nhn?code=360150,360150,삼성자산운용,0.640,118,-7.86,-14.11,-23.08,, KODEX 코스닥 150 ,25.80, 제낙스 ,, 코스닥150 F 202103 ,, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,74.20
KODEX 코스닥150 레버리지,https://finance.naver.com/item/coinfo.nhn?code=233740,233740,삼성자산운용,0.640,9856,-21.67,2.08,1.34,66.52, KODEX 코스닥 150 ,, TIGER 코스닥150 ,, KBSTAR 코스닥150 ,, HANARO 코스닥150 ,, CMG제약 ,, 셀트리온헬스케어 ,, 국일제지 ,, 텔콘RF제약 ,, 신라젠 ,, SFA반도체 ,
KODEX 코스닥 150,https://finance.naver.com/item/coinfo.nhn?code=229200,229200,삼성자산운용,0.250,3826,-11.04,2.05,2.71,38.84, 셀트리온헬스케어 ,11.65, 에이치엘비 ,2.86, 알테오젠 ,2.49, 셀트리온제약 ,2.44, 씨젠 ,2.12, 제넥신 ,1.83, 현대바이오 ,1.73, 펄어비스 ,1.71, 원익IPS ,1.58, 케이엠더블유 ,1.53
KODEX 최소변동성,https://finance.naver.com/item/coinfo.nhn?code=279540,279540,삼성자산운용,0.300,144,-6.12,6.98,11.18,35.04, 삼성전자 ,10.34, 삼성SDI ,9.62, KT&G ,4.48, SK하이닉스 ,3.52, 삼성생명 ,2.94, CJ대한통운 ,2.33, 에스원 ,2.15, DB손해보험 ,2.11, SK텔레콤 ,2.06, 엔씨소프트 ,2.01
KODEX 철강,https://finance.naver.com/item/coinfo.nhn?code=117680,117680,삼성자산운용,0.450,113,2.67,18.83,31.96,34.05, 현대제철 ,23.14, POSCO ,20.38, 고려아연 ,14.42, 풍산 ,9.86, 동국제강 ,9.01, 남선알미늄 ,5.57, KG동부제철 ,4.93, 영풍 ,3.33, 세아베스틸 ,2.65, 포스코엠텍 ,2.14
KODEX 차이나항셍테크,https://finance.naver.com/item/coinfo.nhn?code=372330,372330,삼성자산운용,0.180,1015,-8.36,,,, Lenovo Group Ltd ,, XIAOMI CORP-CLASS B ,, SMIC Equity ,, ALIBABA HEALTH INFO ,, KINGDEE INT'L ,, FIT HON TENG ,, WEIMOB INC ,, JD HEALTH INT ,, Tongcheng-Elong Holdings Ltd ,, YIXIN ,
KODEX 증권,https://finance.naver.com/item/coinfo.nhn?code=102970,102970,삼성자산운용,0.450,642,-4.37,2.79,20.32,34.34, 한국금융지주 ,24.03, 미래에셋대우 ,15.04, 삼성증권 ,15.01, 키움증권 ,11.83, NH투자증권 ,10.33, 메리츠증권 ,7.91, 대신증권 ,2.82, 한화투자증권 ,2.02, SK증권 ,1.93, 유안타증권 ,1.77
KODEX 중국본토CSI300,https://finance.naver.com/item/coinfo.nhn?code=283580,283580,삼성자산운용,0.550,921,-0.74,12.97,15.96,36.47, IND & COMM BK OF CHINA-A ,, AGRICULTURAL BANK OF CHINA-A ,, BANK OF COMMUNICATIONS CO-A ,, BOE TECHNOLOGY GROUP CO LT-A ,, INNER MONGOLIAN BAOTOU STE-A ,, CHINA MINSHENG BANKING-A ,, BANK OF CHINA LTD-A ,, CHINA STATE CONSTRUCTION -A ,, CHINA EVERBRIGHT BANK CO-A ,, BANK OF BEIJING CO LTD -A ,
KODEX 중국본토 A50,https://finance.naver.com/item/coinfo.nhn?code=169950,169950,삼성자산운용,0.990,373,0.40,14.42,19.92,37.51, AGRICULTURAL BANK OF CHINA-A ,, CHINA MINSHENG BANKING-A ,, IND & COMM BK OF CHINA-A ,, BANK OF CHINA LTD-A ,, BANK OF COMMUNICATIONS CO-A ,, CHINA STATE CONSTRUCTION -A ,, SHANGHAI PUDONG DEVEL BANK-A ,, CHINA EVERBRIGHT BANK CO-A ,, INDUSTRIAL BANK CO LTD -A ,, CHINA MERCHANTS BANK-A ,
KODEX 종합채권(AA-이상)액티브,https://finance.naver.com/item/coinfo.nhn?code=273130,273130,삼성자산운용,0.070,14478,-0.55,-0.90,-1.50,-0.64, 10년국채   F 202103 ,, 경기지역개발채권16-07 ,, 경북지역개발채권16-10 ,, 국가철도공단채권322 ,, 국고채권01125-3909(19-6) ,, 국고채권01250-2603(21-1) ,, 국고채권01375-2109(16-4) ,, 국고채권01375-2409(19-5) ,, 국고채권01375-2912(19-8) ,, 국고채권01375-3006(20-4) ,
KODEX 장기종합채권(AA-이상)액티브KAP,https://finance.naver.com/item/coinfo.nhn?code=363570,363570,삼성자산운용,0.070,366,-1.51,-2.35,,, 국고채권01500-3012(20-9) ,, 국고채권01500-4009(20-7) ,, 국고채권01500-5003(20-2) ,, 아이비케이캐피탈227-6 ,, 지에스에너지8-2 ,, 케이비국민카드202 ,, 하나캐피탈318-4 ,, 한국자산관리공사채권제48회5012-09 ,, 한국전력공사채권1023 ,, 한국전력공사채권1032 ,
KODEX 자동차,https://finance.naver.com/item/coinfo.nhn?code=091180,091180,삼성자산운용,0.450,4066,-9.86,30.07,53.26,74.94, 기아차 ,23.48, 현대차 ,21.19, 현대모비스 ,16.00, 한온시스템 ,10.74, 한국타이어앤테크놀로지 ,8.92, 만도 ,5.27, 현대위아 ,3.11, 세방전지 ,1.87, 금호타이어 ,1.64, S&T모티브 ,1.31
KODEX 일본TOPIX100,https://finance.naver.com/item/coinfo.nhn?code=101280,101280,삼성자산운용,0.370,95,1.18,6.34,11.46,12.97, MITSUBISHI UFJ FINANCIAL GRO ,, NOMURA HOLDINGS INC ,, ENEOS HOLDINGS ,, Z Holdings ,, MIZUHO FINANCIAL GROUP INC ,, NIPPON TELEGRAPH & TELEPHONE ,, NISSAN MOTOR ,, PANASONIC ELECTRIC INDUST ,, TOYOTA MOTOR ,, RESONA HOLDINGS INC ,
KODEX 인버스,https://finance.naver.com/item/coinfo.nhn?code=114800,114800,삼성자산운용,0.640,12061,2.96,-16.94,-26.76,-39.79, 코스피200 F 202103 ,, KODEX 200 ,, 설정현금액 ,, 원화현금 ,
KODEX 은행,https://finance.naver.com/item/coinfo.nhn?code=091170,091170,삼성자산운용,0.300,2321,2.32,-0.08,20.70,10.62, 하나금융지주 ,21.59, KB금융 ,20.30, 신한지주 ,17.74, 우리금융지주 ,16.69, 기업은행 ,6.82, BNK금융지주 ,5.14, JB금융지주 ,3.37, DGB금융지주 ,3.35, 원화현금 ,4.99
KODEX 은선물(H),https://finance.naver.com/item/coinfo.nhn?code=144600,144600,삼성자산운용,0.680,1285,6.18,14.68,0.72,40.86, iShares SILVER Trust ,, SILVER F2105 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,, USD 예금 ,
